no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
7925,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:01,2022-05-04 오전 7:39:53,종로구,평창동,서대문구,연희동,2022/05/04 7:00,2022/05/04 7:39,39,7,37.6,126.97,37.57,126.93
4974,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:44,2022-05-04 오전 7:23:05,관악구,행운동,서초구,방배1동,2022/05/04 7:00,2022/05/04 7:23,23,7,37.48,126.95,37.48,127
7895,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:05,2022-05-04 오전 7:20:12,강남구,세곡동,중랑구,신내2동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.46,127.1,37.61,127.09
7910,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:07,2022-05-04 오전 7:35:23,중구,신당제3동,중구,신당제5동,2022/05/04 7:00,2022/05/04 7:35,35,7,37.56,127.01,37.56,127.01
4634,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:36,2022-05-04 오전 7:22:54,노원구,월계3동,송파구,잠실2동,2022/05/04 7:00,2022/05/04 7:22,22,7,37.62,127.07,37.51,127.18
8285,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:42,2022-05-04 오전 7:27:01,동작구,상도제3동,동작구,흑석동,2022/05/04 7:00,2022/05/04 7:27,27,7,37.5,126.93,37.5,126.96
5716,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:55,2022-05-04 오전 7:22:03,서대문구,남가좌제2동,마포구,서교동,2022/05/04 7:00,2022/05/04 7:22,22,7,37.58,126.92,37.55,126.92
5728,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:56,2022-05-04 오전 7:20:00,서대문구,홍은제2동,용산구,한강로동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.58,126.93,37.52,126.96
5739,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:40,2022-05-04 오전 7:41:38,은평구,진관동,은평구,역촌동,2022/05/04 7:00,2022/05/04 7:41,41,7,37.64,126.92,37.6,126.91
7865,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:40,2022-05-04 오전 7:23:01,양천구,신정2동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:23,23,7,37.52,126.87,37.57,126.93
