,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
74,3628,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:52,2022-05-07 오전 7:26:08,관악구,행운동,서초구,방배1동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.48,126.95,37.48,127
75,808,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:55,2022-05-07 오전 7:16:22,영등포구,신길제3동,용산구,남영동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.5,126.9,37.54,126.97
76,6144,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:16,2022-05-07 오전 7:29:32,영등포구,영등포본동,구로구,구로제2동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.51,126.9,37.5,126.87
77,9141,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:18:48,중랑구,신내2동,노원구,월계2동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.09,37.63,127.05
78,6781,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:31,2022-05-07 오전 7:24:35,중구,신당제3동,동대문구,청량리동,2022/05/07 7:00,2022/05/07 7:24,24,7,37.56,127.01,37.59,127.05
79,8156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:40,마포구,용강동,성북구,성북동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.54,126.94,37.59,127
80,5725,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:53,2022-05-07 오전 7:31:15,송파구,마천2동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:31,31,7,37.49,127.15,37.53,127.11
81,3564,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:02,2022-05-07 오전 7:21:39,강서구,가양제1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.57,126.84,37.57,126.93
82,3604,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:19,2022-05-07 오전 7:17:49,동대문구,장안제4동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.07,37.53,127.11
83,6756,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:36:10,강서구,가양제3동,강서구,등촌제3동,2022/05/07 7:00,2022/05/07 7:36,36,7,37.56,126.86,37.55,126.84
84,6749,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:56,2022-05-07 오전 7:37:12,강남구,개포4동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:37,37,7,37.47,127.04,37.49,127.05
86,3602,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:40:37,강서구,등촌제3동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:40,40,7,37.55,126.84,37.55,126.83
