,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon,startplus,endplus,gotowork,gotoschool,gotocharge,end_destination
81,8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:32:12,2022-05-07 오전 7:43:45,17,100,21,16,2022/05/07 7:00,2022/05/07 7:43,43,7,37.47,127.02,37.49,127.05,7470,7470,0,0,0,0.0
82,6772,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:49,15,13,22,33,2022/05/07 7:00,2022/05/07 7:19,19,7,37.68,127.05,37.57,126.98,7670,7569,0,1,0,2.0
83,3837,중형승용,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:32,2022-05-07 오전 7:17:38,12,166,1,205,2022/05/07 7:00,2022/05/07 7:17,17,7,37.63,127.04,37.5,127.09,7670,7570,0,0,0,0.0
84,5798,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:11:57,2022-05-07 오전 7:38:36,21,275,10,25,2022/05/07 7:00,2022/05/07 7:38,38,7,37.485,127.1,37.54,127.07,7471,7570,0,0,0,0.0
85,9128,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:21:55,24,308,22,9,2022/05/07 7:00,2022/05/07 7:21,21,7,37.56,126.8,37.58,127.0,7568,7570,0,0,0,0.0
86,836,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:36,2022-05-07 오전 7:23:45,18,131,6,294,2022/05/07 7:00,2022/05/07 7:23,23,7,37.55,126.98,37.61,127.04,7569,7670,0,0,0,0.0
87,7902,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:01,2022-05-07 오전 7:46:15,24,318,19,120,2022/05/07 7:00,2022/05/07 7:46,46,7,37.53,126.86,37.5,126.9,7568,7569,0,0,0,0.0
88,8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:34:21,2022-05-07 오전 7:48:22,24,194,24,236,2022/05/07 7:00,2022/05/07 7:48,48,7,37.55,126.84,37.57,126.81,7568,7568,0,0,0,0.0
89,8087,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:04,2022-05-07 오전 7:25:59,15,13,13,2,2022/05/07 7:00,2022/05/07 7:25,25,7,37.68,127.05,37.57,126.93,7670,7569,0,0,0,0.0
90,7933,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:12:41,2022-05-07 오전 7:42:03,4,74,1,299,2022/05/07 7:00,2022/05/07 7:42,42,7,37.56,127.17,37.53,127.11,7571,7571,0,0,0,0.0
91,7651,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:18:56,2022-05-07 오전 7:43:44,24,67,13,2,2022/05/07 7:00,2022/05/07 7:43,43,7,37.57,126.84,37.57,126.93,7568,7569,0,0,0,0.0
92,3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:35:38,2022-05-07 오전 7:50:32,1,16,21,222,2022/05/07 7:00,2022/05/07 7:50,50,7,37.48,127.13,37.49,127.09,7471,7470,0,0,0,0.0
